収集日,検索キーワード,ジャンル,アカウント,投稿日,いいね,返信,リポスト,本文(フック),続き(ツリー),URL
2026-07-09(木),家賃,不動産,ki_no._.ko,2026-07-07(火),14280,2755,0,"手取りが20万だとしてさ、  携帯代15,000円 家賃60,000円 光熱費10,000円 食費30,000円 パチンコ92,000円  合計197,000円  200,000円－197,000円＝3,000円  1ヶ月働いて手元に3,000円しか残らない。 これで老後どうしたらいいっていうの？  今の政治。本当に危機感持った方がいい。  #日本終了 #政治 #国民をなめるな",結論  政治よりコメ欄のパチンカスの多さに 危機感を持った方がいい,https://www.threads.com/@ki_no._.ko/post/DaegNP-E9qF
2026-07-09(木),時短,その他,hello_mosa_life,2026-07-03(金),8593,121,0,このデッキが  一番時短で、 一番盛れる気がする。,ささっと、ぺぺっと塗ったら終わり✌️ ▼ そういえば…  このメイクデッキの中身、前にnoteにまとめてました🌿  気になる方がいたら、よかったらどうぞ☺️  https://note.com/mosa_life/n/n61d2f9bdb97a,https://www.threads.com/@hello_mosa_life/post/DaWYil3kzDi
2026-07-09(木),ChatGPT,AI,claudeai,2026-07-01(水),6779,271,0,Claude Fable 5 is back and available for building again.,,https://www.threads.com/@claudeai/post/DaQxjkHmhDj
2026-07-09(木),家賃,不動産,funfunsewing,2026-07-07(火),2511,147,0,"UR賃貸の我が家。 家賃60,000円でペット可。 リフォームしたてでキッチン周りもお風呂もお手洗いもエアコンも全部新品✨  ここにさらにふた部屋あって、一人暮らしには十分すぎる。  すぐ隣に駐車場もある。 植栽も豊富だし手入れも本当にこまめ。  URおすすめです。",たくさんのコメントありがとうございます。 いくつかご質問を頂いたのでここで返信させて頂きます。  ペット可のURの見つけ方ですが、検索で「UR ペット可」とかでググると出てくると思います。  広さは60平米くらいです。  築は45年くらいだったような。  どこですか？と言うご質問には、自宅を晒すわけにはいかないので割愛させてください。  ソファですが、unicoのアルベロの3シーターです。  エレベーターはない棟になります。  リフォームは私ではなくUR側が行っています。私はたまたまリフォーム後の最初の入居者になることができました。  あと近隣の生活音ですが、テレビなど消して無音の状態で窓を全開にしたらわずかに聞こえてくることはありますが、普通に生活してる分には私は全く気になりません。,https://www.threads.com/@funfunsewing/post/DafAy4xmP2Q
2026-07-09(木),時短,その他,rkrkr_5,2026-07-02(木),2328,51,0,ハッキリ言います✋ 時短勤務＝余裕をもって仕事も家事も育児もできるわけじゃない 全て中途半端なんです。 時短勤務のママさん、そう思いませんか？,,https://www.threads.com/@rkrkr_5/post/DaSmY6eEeEe
2026-07-09(木),賃貸,不動産,coubonbon,2026-07-08(水),2023,47,0,神戸移住の賃貸契約した記念日、モロゾフで1人決起会です。,,https://www.threads.com/@coubonbon/post/DahXR-3E3Bb
2026-07-09(木),引越し,不動産,tomoyuki1023,2026-06-21(日),1584,81,0,引っ越しが終わり、新居です。 稼がねば…😂,,https://www.threads.com/@tomoyuki1023/post/DZ2gJymn6Z1
2026-07-09(木),退去費用,不動産,puru26586,2026-06-23(火),1063,152,0,"フローリング　　　　　220,000円 壁紙張り替えの人件費　　48,000円 お風呂の鏡磨き　　　　　11,000円 網戸張り替え　　　　　　7,000円 ○保険申請中の箇所  47,000円 ↑33万円  合計39万円の請求をされました。  2018年から7年半住んでました。 妥当な請求でしょうか？  床は子供が車であそんだりして確かに傷ついてます． 過失なので減価償却などはできないと言われました。",,https://www.threads.com/@puru26586/post/DZ8lTkKjCUT
2026-07-09(木),残業,その他,yoshifumi_freelance,2026-07-08(水),1179,61,0,正直言って💥 「30分のサービス残業」は許されて 「5分の遅刻」が許されないのって なんかモヤるよね💦 そう思わないすか？,,https://www.threads.com/@yoshifumi_freelance/post/Dah_aHJD1Oq
2026-07-09(木),Claude,AI,claudeai,2026-07-07(火),1157,43,0,"Claude Cowork is coming to mobile and web.  Hand Claude a task at your desk and pick up the finished work from your phone. Close the laptop and Claude keeps going.  Beta is rolling out over the next several weeks starting with the Max plan, with more plans to follow.","Scheduled tasks now run even with your computer off. Set client prep for 6am, and Claude works through the threads and transcripts, builds the brief, and leaves the follow-up drafted but unsent.  When a decision needs your judgment, the question comes to your phone. ▼ Chat and Cowork are moving into one home on web and desktop, with one place for your projects and artifacts across both.  Handing Claude a task starts the same way a conversation does. ▼ We're extending doubled Cowork usage limits through August 5, so you can delegate bigger work to Claude.  Read more: https://claude.com/blog/cowork-web-mobile/",https://www.threads.com/@claudeai/post/Daf1kMJkWVS
2026-07-09(木),引越し,不動産,tako3477,2026-07-07(火),1043,47,0,365日２４時間営業‼️安いですよー！！ 大阪市内、軽トラ幌車１台分の金額になります！ 女性スタッフ同行なので安心です‼️ 荷物により金額変わります🙇 家族の引越しや、残置物撤去もお任せ下さい！！  #引越し #大阪 #おすすめ,,https://www.threads.com/@tako3477/post/Dae3xlgH53l
2026-07-09(木),プロンプト,AI,maki_uchinoko,2026-07-06(月),941,79,0,🫧過去作品🫧  この作品で私のこと知ってくれた人も 多いはず♡ 似たような作品作ってる人もいるけど みんなこれ作りたいかな？🐶⛱️  いいねで教えてくれたら嬉しい♡,,https://www.threads.com/@maki_uchinoko/post/DacM30UmV8F
2026-07-09(木),一人暮らし,不動産,haki114117,2026-06-22(月),393,190,0,質問です。 大学生を一人暮らしさせている親御さんへ  正直なところ、月々いくらかかりますか？,,https://www.threads.com/@haki114117/post/DZ5PDvlE8wD
2026-07-09(木),家賃,不動産,shentiantomomi,2026-07-06(月),411,144,0,今、家賃3万ちょい  夫はもうすぐ65歳。国民年金のみ  私はパートで社保かけてましたが、年金はあまりないです  貯金は頑張ってコツコツ  ボロ古い中古住宅ならギリ買えるけど  貯金はゼロになります  家賃を三万払い貯金を崩す老後か  ボロ中古を買い死ぬまで働くか 悩みます  老後の負担で1番キツいのは家賃な気がします  持ち家欲しかったけど。 とにかく、義母が全く蓄えなかったから、そちらにもお金がかかり持ち家持てなかった😥  家賃住まいでも長生きしたら貯金は尽きるから  どちらの選択でも一生働かないとです🥲,,https://www.threads.com/@shentiantomomi/post/DacO2oYE2wm
2026-07-09(木),一人暮らし,不動産,ichibaku_zikkanns2,2026-06-30(火),396,130,0,🚨‼️緊急‼️🚨  一人暮らし初めて3ヶ月の私 怠惰すぎたせいで部屋にコバエがウロチョロしてるのですが、何が1番効きますか⁉️ 一応ゴミ袋等は捨てましたが、多分それでも生き残りが多々…ウロチョロ…  一応今からプッシュのやつは買います 経験者の方とか、気をつけた方がいい事知ってる方は教えてください‼️‼️‼️‼️‼️,,https://www.threads.com/@ichibaku_zikkanns2/post/DaM2ilik5Ht
2026-07-09(木),働き方,その他,misaki_taishoku25,2026-07-07(火),638,2,0,販売・接客で、閉店後まで残る働き方を抜けたい女子は転職前にこれ見て。  ① レジ締め　　　　現金管理 ② クレーム対応　　顧客対応 ③ 売場づくり　　　販促補助 ④ シフト調整　　　勤怠調整 ⑤ 在庫確認　　　　在庫管理 ⑥ 新人への説明　　新人フォロー ⑦ 売上確認　　　　数字管理 ⑧ 常連対応　　　　関係構築  このまま求人を見ると「接客しかない」で終わりやすいけど、,本当は、毎日やってた仕事の中に次で使える経験がかなりある。  レジ締めはお金を扱う経験。 クレーム対応は顧客対応。 在庫確認は管理業務。 新人への説明は教育経験。 売上確認は数字を見る経験。  ここまで分けてから資格を見るなら、FP3級、登録販売者、日商簿記3級、秘書検定、ITパスポートみたいに「どの職種へ広げたいか」で選びやすくなる。先に資格名だけ見ると、取った後に応募先で迷いやすい。 ▼ 資格を取る前に、自分の強み、使える経験、次に避けたい働き方を一回整理したい人は、ポジウィルキャリアの45分無料相談を壁打ちに使うのもあり。求人紹介じゃなくて、転職前の頭の中を整理するキャリア相談やけん。オンラインで完結するよ。pr https://r.nox-asp.jp/x?nxid=yfo-rdj-tie,https://www.threads.com/@misaki_taishoku25/post/DagbSREE8FG
2026-07-09(木),時短,その他,1123912_,2026-07-07(火),404,73,0,9-16の時短勤務のワーママさんの1日を知りたい教えて🥹,皆さんたくさんありがとうございます😭 世の中のワーママさん達がこんなにもいて こんなに沢山朝から夜まで頑張ってて たくさんの人が一緒に寝落ちしてて みんな凄いです😭😭😭😭✨✨✨✨ 育休後復帰したら時短でどうなるかと思うと 不安ですが仲間が沢山いるので頑張れそうです😭💪‼️ みなさん毎日お疲れ様ですはなまるです💮😭✨✨✨ そして皆さんの夫は自分のことは自分でやってる家庭も沢山あったのでウチもそうしてもらうようにお願いしよっと🥹,https://www.threads.com/@1123912_/post/DafYHrxiUhW
2026-07-09(木),時短,その他,sarumayu622,2026-06-30(火),422,57,0,時短ワーママの皆様 これで私は時短でも仕事回してる！ というハック教えてください！！！  私は退勤1時間前のメールは翌朝 きたものとする。です。,ちなみに今日は優しさを見せてしまい15分遅れで保育園お迎え。ちくしょう！！,https://www.threads.com/@sarumayu622/post/DaMd_L_ksDX
2026-07-09(木),退去費用,不動産,shiro_fire_money,2026-06-29(月),532,13,0,退去費用を抑えるための知識を知っていますか？  基本清掃代：6万円 壁紙の全面張替え：9万円 床補修＆ワックス：4万円 鍵交換：3.5万円 室内消毒：2.5万円 エアコン洗浄：2万円  このように言われた場合、どのように対処していますでしょうか。,【壁紙の張替え：9万円 → 0円】 張替え費用は本来、大家さんのご負担となります。  【床の補修：4万円 → 0円】 通常損耗を超える傷であったとしても、退去の連絡をする前であれば火災保険（借家人賠償責任）で補償を受けられるケースが多くございます。  【鍵交換・室内消毒・エアコン洗浄 → すべて0円】 「次の入居者を確保するための大家さん側の費用」にあたります。 意図的に汚損していない限り、入居者がお支払いする必要はありません。  【基本清掃代：6万円 → 要交渉】 唯一お支払いが必要な項目ですが、6万円は市場相場と比べて割高です。 相場を把握したうえで、交渉の余地が十分にあります。 ▼ もちろん、必ずここまで減額できるとは限りません。交渉の進め方によって結果は異なります。 ただ、交渉できる知識を持っているかどうかというだけで、ここまでの差が生まれてしまうのが現実です。,https://www.threads.com/@shiro_fire_money/post/DaLFHHajzOM
