収集日,検索キーワード,ジャンル,アカウント,投稿日,表示回数,いいね,返信,リポスト,本文(フック),続き(ツリー),URL
2026年09月24日(木),同棲,不動産,mi54_20,2026年09月05日(土),,21695,266,0,先月30歳を迎え、4年半付き合った彼と今月入籍する予定でした。  でも昨晩、婚約破棄になりました。  普通に結構しんどいし、まだ気持ちが追いついてないけど、今は朝マック食べてる。  ちゃんとお腹空くし、ちゃんと食べられる。  もしかしたら、どこかで心の準備ができてたのかもしれない。 「あ、私、大丈夫なんだな」って少し思えた朝。,,https://www.threads.com/@mi54_20/post/Dc7EZz_k2QH
2026年09月24日(木),家賃,不動産,luvu_t10,2026年09月23日(水),,5414,162,0,夫婦合わせて貯金ほぼゼロの家庭で、子育てしている方いますか？？  うちは毎月毎月、カツカツすぎて😭 収入も凄く少ない訳ではないんだけど、出費（ローン返済など）が多すぎて全然貯金出来ない🥹 ちなみに、家賃光熱費とか抜いた生活費（食費、消耗品）は毎月5万前後でどうにかやりくりしています😵‍💫  お金関係で悩むの辛い、、疲れた😓,,https://www.threads.com/@luvu_t10/post/DdnmkKmD0NP
2026年09月24日(木),家賃,不動産,kaha020407,2026年09月03日(木),,2960,339,0,家賃払うのもったいないから、👶🏼が1歳になったら両親と同居しようと言う夫。 義両親はとてもいい人。でも一緒に住むのは無理。 24時間気を使う、自由に過ごせない。 洗濯物どこに干す？私の下着あるけど。 家事分担は？生活費はどうする？ 空いている部屋は6畳間1つ。 そこに寝具、自分たちの荷物とお子のおもちゃや服も置くわけで。 まだ完全な２世帯住宅ならいいけど、そうじゃない。 逆に、夫は私の実家で同居するのはいいの？,,https://www.threads.com/@kaha020407/post/Dc171YNEiqS
2026年09月24日(木),家賃,不動産,truckmeimei,2026年09月23日(水),,2566,77,0,家賃2万5千円の部屋 約3年間ありがとうございました。  #トラックめいめい,,https://www.threads.com/@truckmeimei/post/Ddm_4KbkTMK
2026年09月24日(木),賃貸,不動産,alohahitmother,2026年09月03日(木),,527,526,0,家の新築を検討しています②  実は夫の年齢が55歳なんです。わたしもすでに47歳。さらに5歳（男児）と3歳（男児）の子持ち・・・今住んでいる賃貸が手狭です。  高齢で住宅ローン組んだ方いますか？ 団信って入れるんでしょうか。 メーカーさん経由で5000万借りられると聞いているのですが。  周囲に同じような境遇（背景や家族構成）の人がいなくて相談できません。  ご助言よろしくお願いいたします‼︎,,https://www.threads.com/@alohahitmother/post/Dc10CAUk3_D
2026年09月24日(木),引越し,不動産,sumirin_118,2026年09月21日(月),,1802,80,0,引越し終わったー！ 毎日片付けで死んでる✌🏽✌🏽✌🏽,,https://www.threads.com/@sumirin_118/post/DdiL4-wnZT2
2026年09月24日(木),同棲,不動産,tigbelfum,2026年09月22日(火),,1298,244,0,同棲に向けて3日間だけ彼女が家に来てたんですが、猫の毛がご飯食べてるときに気になったり、床に落ちてるのが気になって同棲無理だって言われて、猫飼ってたらどうしようもないですよね… 猫のことは可愛がってくれるけど、、お世話は無理みたい_(:3 」∠)_,,https://www.threads.com/@tigbelfum/post/Ddl10vAk0MJ
2026年09月24日(木),退去費用,不動産,legosentai,2026年09月20日(日),,1027,178,0,7年住んだ賃貸で退去費用104万請求されました 支払うお金ありませんがどうしたらいいでしょうか😭,,https://www.threads.com/@legosentai/post/DdgCqpnkjVF
2026年09月24日(木),同棲,不動産,krir_iiiii,2026年09月10日(木),,1013,182,0,1年いた彼氏に独身偽装されていた。 絶対に許さない。 私からすると普通に独身同士で恋愛してるだけだったのに何でこんな思いしないといけないの 愛の言葉も、結婚の話しも同棲の話しも 全部嘘だったの？ 今、弁護士に依頼してる 絶対許さない 同じような方いますか？,,https://www.threads.com/@krir_iiiii/post/DdGh9L6Cf0n
2026年09月24日(木),引越し,不動産,rio._.m711,2026年09月16日(水),,1148,80,0,無事に9月から熊本にお引越し出来ました‼️  9月から熊本県民です！よろしくおねがいしまーす！！！！,,https://www.threads.com/@rio._.m711/post/DdWRskcieCf
2026年09月24日(木),引越し,不動産,_birde348,2026年09月23日(水),,1074,79,0,アパート明日明け渡しです。 昨日から旦那は旅行に行きました。 なんでも「ここじゃないと皆と予定が合わない」んだそうです。今生の別れなんですかね ひとりで引越し先への物の移動や廃棄場に持って行っていき、今黙々と掃除をしています。 一発グーパンしてもいいですか？,,https://www.threads.com/@_birde348/post/DdnUmMUoPQ6
2026年09月24日(木),同棲,不動産,utsunikki,2026年09月12日(土),,839,114,0,すみません、教えてください。 同棲を考えている彼氏が、カップ麺の残り汁やそばのゆで汁などをキッチンの排水口ではなく、トイレの便器に流します。  私はそれが嫌なので「一緒に住むときにはトイレの便器に流すのはやめてほしい、キッチンの排水口に流してほしい」と伝えたのですが、 「え、それって何が違うの？」と言われました。  何が違うのかって言われるとよくわからないけど便器に流されるの嫌じゃないですか？ この感覚は私だけで、一般的には便器に流すものなのでしょうか？,,https://www.threads.com/@utsunikki/post/DdLTJ9CHezl
2026年09月24日(木),退去費用,不動産,yamakuma_shisan,2026年09月18日(金),,1030,31,0,ペット可の賃貸で猫を飼っていた。 退去時、請求されたのは40万円。  請求書を見ると、畳や網戸まで。 借「え、網戸も張り替えですか？」  不「はい」 借「猫が傷つけたからですか？」 不「いえ、そういうことではなくて…」,,https://www.threads.com/@yamakuma_shisan/post/DdcWc_dk5Ww
2026年09月24日(木),賃貸,不動産,mikun715,2026年09月12日(土),,895,64,0,今住んでいる賃貸 6万7千円 横の空きの部屋 5万2千円 間取りは同じ  家賃引き下げのお願いしたら 通りますか？,,https://www.threads.com/@mikun715/post/DdL6tRqku66
