収集日,検索キーワード,ジャンル,アカウント,投稿日,いいね,返信,リポスト,本文,URL
2026-07-07,貯金,その他,yukina_webwriter,2026-06-20,20943,274,0,「手取り18万で生活きつい」って言うと 「スキルを磨け」って言う人いるけど 週５日、１日８時間も働いてて貯金すらできない人がたくさんいる社会って、 普通に考えておかしくない？,https://www.threads.com/@yukina_webwriter/post/DZzvlUHkxBO
2026-07-07,貯金,その他,yuta_makimura39,2026-06-15,11373,142,0,50代、「失敗ばかりの人生」 だと思っていました  就職に失敗しました。 結婚生活に失敗しました。 貯金にも失敗しました。  失敗だらけの人生 だと思っていました。  でも１つだけ、 成功したことがあります。  腰の折れた子猫を引き取って、 歩けるまで育てたことです。  人生のほとんどに失敗した私が、 １つの命を救うことには 成功しました。  その１つの成功が、 ほかの全部の失敗を、 帳消しにしてくれたんです。  おかげで今は猫と、心静かに 穏やかに暮らせています。,https://www.threads.com/@yuta_makimura39/post/DZnvMkREx-u
2026-07-07,貯金,その他,dj_atsushi,2026-06-29,5782,187,0,貯金が19万しかねぇ。 41歳 4人家族世帯主,https://www.threads.com/@dj_atsushi/post/DaKkqL-GiK7
2026-07-07,時短,その他,amomo_workingmom,2026-06-29,2746,36,0,時短にすれば、職場に気を遣う。 フルタイムにすれば、子どもに申し訳ない。 休めば、仕事に穴をあけた気がする。 休まなければ、母親失格な気がする。  母親って、 どの選択をしても 自分を責める方向に持っていかれがち。  ただ毎日を回してるだけなのにね。,https://www.threads.com/@amomo_workingmom/post/DaKvekqGeZA
2026-07-07,会社員,その他,100in_y,2026-07-06,2405,72,0,わたしは150日目ぐらいに京都でチャイ屋台をやりたい会社員です 50日目なんですけど 時間の使い方が下手すぎて出勤前に実家の断捨離をしていたところ、 最初に開けた箱にこんなのが入ってました 学生時代に書いて忘れてたチャイレシピ！ さすがに話ができすぎている,https://www.threads.com/@100in_y/post/Dacpf0iE709
2026-07-07,時短,その他,rkrkr_5,2026-07-02,2322,50,0,ハッキリ言います✋ 時短勤務＝余裕をもって仕事も家事も育児もできるわけじゃない 全て中途半端なんです。 時短勤務のママさん、そう思いませんか？,https://www.threads.com/@rkrkr_5/post/DaSmY6eEeEe
2026-07-07,貯金,その他,setuyaku_55,2026-06-29,1598,78,0,貯金が趣味の方、おすすめの節約法を知りたいです！収入が多いかたではなく、節約で貯金しているかたに教えていただきたいです。 固定支出を見直しまくったので、もう削れないと思っています．でも、もっと支出を減らしたい…！！！,https://www.threads.com/@setuyaku_55/post/DaKVWoOiUo4
2026-07-07,貯金,その他,moekoway,2026-07-05,1377,92,0,未婚子なし貯金もあんまりなしの 41歳の休日はこちらです！！！！！￼,https://www.threads.com/@moekoway/post/DaZckh_iZED
2026-07-07,貯金,その他,firered281,2026-07-06,1116,166,0,はぁ〜😫😮‍💨 3歳児のシンパパです。 今の世帯収入１８万。 ごめんだけど貯金２０万もないよ😭💦  僕って詰んでます？ まだマシです？笑 どうぞご意見を🙇,https://www.threads.com/@firered281/post/DacqyCFk5WH
2026-07-07,貯金,その他,tiger.12940069,2026-06-16,1073,35,0,22歳貯金0円から働き始めて、今年32歳！ ついに資産が3000万を超えたよ〜〜〜！ 頑張ったよ自分〜〜〜！！！ 誰にも自慢できないからここで自慢させて〜〜！ ⭐️引き続き頑張るよ〜〜〜！,https://www.threads.com/@tiger.12940069/post/DZpToneHWmS
2026-07-07,時短,その他,toco___desu,2026-06-23,866,2,0,いい？よく聞いて 復帰後、会社が教えてくれないことが1つあるわ。2歳未満の子どもがいて時短勤務してる間、減った賃金の10%が給付されるの。申請しないと1円も入らないからね。その名は「育児時短就業給付金」よ。知ってるママはみんなやってる、忘れないでね。,https://www.threads.com/@toco___desu/post/DZ64XM5k1ux
2026-07-07,会社員,その他,sabao_noter,2026-07-06,317,140,0,正直、 会社の未来より 自分の生活の方が大事。  会社員失格ですか？,https://www.threads.com/@sabao_noter/post/Dachco6ArsB
2026-07-07,貯金,その他,moekoway,2026-06-25,619,17,0,未婚子なし貯金もあんまりなしの 41歳の休日はこちらです！！！！！￼,https://www.threads.com/@moekoway/post/DaAbde9iaFa
2026-07-07,時短,その他,sarumayu622,2026-06-30,419,57,0,時短ワーママの皆様 これで私は時短でも仕事回してる！ というハック教えてください！！！  私は退勤1時間前のメールは翌朝 きたものとする。です。,https://www.threads.com/@sarumayu622/post/DaMd_L_ksDX
2026-07-07,貯金,その他,yure.soda,2026-07-05,446,35,0,崖っぷち我が家のリアル ・私：90年代生まれ。4月からパート（元正職員） ・夫：同い年。単身赴任中に数百万の借金発覚 ・子：2人。小2と年中 ・貯金：4万円（退職金全額溶けた）  逃げ場のない現実（戦い）に突入してるけど這い上がるのみ。見守っていてください。,https://www.threads.com/@yure.soda/post/DabQSn-k_zL
2026-07-07,初期費用,不動産,skypuregold,2026-07-03,228,76,0,已經在這篇貼文裡泡快一小時了😭🥹 純金雙鍊小金花手鍊真的是精緻城市女孩要買吧！！ 貼心提醒💌週六天水銀樓有開 妳們來勤美喝咖啡的時候順路來逛吧💖🛍️  很多意料之外的可愛又年輕都金飾款式！！跟三五好友一起來挖寶一波🌼🌼  雙面都精緻到不行的小金花✨🤩真的超耐看 加上小金滾珠象徵好運幸運財運滾進來 對不起了錢錢，我真的很需要這條美麗的手鍊啦！,https://www.threads.com/@skypuregold/post/DaVZrsLD0QH
2026-07-07,引越し,不動産,usamaruko08,2026-07-03,306,41,0,お引越しをした為、改めて🙇‍♀️  📍神奈川  👩🏻1999（26） 👶🏻2025.12  フッ軽なのでどこにでも行きます🚗³₃  知り合いのいない地にお引越ししたので、、 気軽に会えるお友達、 情報共有できるママ友が欲しいです🥹,https://www.threads.com/@usamaruko08/post/DaVUPvlicO2
2026-07-07,会社員,その他,kominka_sawa,2026-07-05,277,30,0,40代で、今まさに新しい挑戦をしている方はいますか？  私は43歳で会社員を辞め、起業しました  起業して半年 不安定になった部分もありますが、好きなことを仕事にできて、たくさんの人との出会いにも恵まれ、毎日がとても豊かです  挑戦において大切なのは、,https://www.threads.com/@kominka_sawa/post/DabbCo3kyUD
2026-07-07,会社員,その他,freelance_maika,2026-06-26,311,6,0,INFJは会社員では才能が死ぬ。 逆に才能が開花する仕事はこれだ。  ①言葉にできないものを言語化する力 人の気持ちや まだ誰も言葉にできていない問題を 言語化できる。,https://www.threads.com/@freelance_maika/post/DaC9q3BiorK
2026-07-07,時短,その他,hana_0to1,2026-06-30,65,43,0,最近ほんと思う。  フルタイムなら収入は増える。  時短なら子どもとの時間は増える。  どちらも魅力だから、  答えが出ない。  みなさんなら、  何を一番大切にしますか？🥺,https://www.threads.com/@hana_0to1/post/DaNFKXWAvvP
